genres,app_name,date,price,item_id
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,2018,4.99,761140
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,2018,Free To Play,643980
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,2017,Free to Play,670290
"['Action', 'Adventure', 'Casual']",弹炸人2222,2017,0.99,767400
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,2018,3.99,772540
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,2018,9.99,774276
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,2018,18.99,774277
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,2018,29.99,774278
"['Casual', 'Indie', 'Racing', 'Simulation']",Race,2018,,768800
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018,10.99,770380
"['Casual', 'Indie']",Beach Rules,2018,3.99,768880
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2018,2.99,765320
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,2018,1.59,773650
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,2018,14.99,774271
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,2018,1.99,773690
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,2018,59.99,774279
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,2018,0.99,768060
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2017,2.99,775880
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2017,2.99,775881
"['Action', 'Indie']",DinoBlaster,2018,4.99,653960
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,1997,9.99,282010
['Action'],Half-Life,1998,9.99,70
"['Action', 'Indie', 'RPG']",Fallen Mage,2016,1.99,752360
"['Casual', 'Indie', 'Strategy']",Lost Cities,2018,,520680
['Action'],Twisted Enhanced Edition,2018,,690410
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,2018,0.99,766850
"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",Tactics Forever,2018,,413120
"['Adventure', 'Casual', 'Indie']",Christmas Santa Troubles,2017,,773120
"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,2018,8.99,754360
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,2018,0.99,716110
['Strategy'],Disciples II: Gallean's Return,2006,6.99,1640
['Strategy'],Disciples II: Rise of the Elves,2006,6.99,1630
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,2006,9.99,2400
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,2017,7.99,759920
"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",Darkness and a Crowd,2018,,659780
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,2017,10.99,603280
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,2017,9.99,753110
"['Action', 'Indie']",Orbitality,2017,9.99,753100
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,2017,1.99,764280
"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,2017,0.99,758550
['Action'],Advent Rising,2005,9.99,3800
"['Indie', 'Strategy']",DEFCON,2006,9.99,1520
"['Action', 'Indie', 'RPG']",The Ship: Single Player,2006,9.99,2420
"['Indie', 'Simulation']",Garry's Mod,2006,9.99,4000
['Racing'],RACE - The WTCC Game,2006,39.99,4230
"['Casual', 'Indie']",Zen of Sudoku,2006,Free,4900
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,2006,4.99,2520
['Strategy'],Ghost Master®,2003,4.99,6200
['Strategy'],Vegas: Make It Big™,2006,4.99,6210
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,2006,19.99,6300
['Racing'],FlatOut 2™,2006,9.99,2990
['Racing'],FlatOut,2005,7.49,6220
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,2007,14.99,6510
['Strategy'],CivCity: Rome,2006,9.99,3980
['RPG'],Arx Fatalis,2002,4.99,1700
"['Action', 'Adventure', 'RPG']",The Longest Journey,2000,9.99,6310
['Strategy'],Civilization IV®: Warlords,2006,4.99,3990
['Strategy'],Railroad Tycoon 3,2003,9.99,7610
['Strategy'],Sid Meier's Railroads!,2006,9.99,7600
['Strategy'],Railroad Tycoon II Platinum,1998,4.99,7620
"['Casual', 'Indie']",RIP - Trilogy™,2007,4.99,2540
['Strategy'],X-COM: Terror From the Deep,1995,4.99,7650
"['Action', 'Adventure']",Tomb Raider: Anniversary,2007,8.99,8000
['Action'],Devil May Cry® 3 Special Edition,2006,19.99,6550
"['Action', 'Adventure']",Sam & Max 101: Culture Shock,2006,19.99,8200
['Action'],Final DOOM,1996,4.99,2290
"['Indie', 'RPG']",Vigil: Blood Bitterness™,2007,,2570
"['Action', 'Adventure']",Sam & Max 102: Situation: Comedy,2006,19.99,8210
['Action'],Ultimate Doom,1995,4.99,2280
['Action'],Master Levels for Doom II,1995,14.99,9160
['Action'],DOOM II,1994,4.99,2300
['Action'],Wolfenstein 3D,1994,4.99,2270
['Action'],Return to Castle Wolfenstein,2001,4.99,9010
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,1997,2.99,9040
['Action'],Spear of Destiny,1993,2.99,9000
['Action'],BloodRayne,2003,9.99,3810
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,2007,2.99,9030
['Action'],QUAKE,2007,4.99,2310
['Strategy'],Genesis Rising,2007,4.99,3230
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",2006,12.99,9310
"['Action', 'RPG']",BioShock™,2007,19.99,7670
